Month,other renewables thousand megawatthours,wind thousand megawatthours,all utility-scale solar thousand megawatthours,geothermal thousand megawatthours,wood and wood-derived fuels thousand megawatthours,other biomass thousand megawatthours,Total
2018-01,35761.70169,25598.8222,3318.97521,1341.30742,3685.98967,1816.60719,71523.40338
2018-02,33311.01077,23189.48924,3896.41408,1274.09258,3234.95066,1716.06421,66622.02154
2018-03,38255.90114,26463.70391,5056.23832,1366.75303,3547.44236,1821.76353,76511.80229
2018-04,38503.0881,26430.85718,6056.72671,1187.93664,3101.86989,1725.69768,77006.1762
2018-05,37268.03709,23953.12766,6849.01231,1382.62025,3351.71509,1731.56179,74536.07419
2018-06,38608.10134,24702.85593,7414.66701,1299.83478,3470.74859,1719.99503,77216.20268
2018-07,30070.54876,16446.57439,6754.8758,1369.6113,3749.45617,1750.03112,60141.09754
2018-08,33296.22076,19846.43699,6695.40796,1367.05504,3629.80164,1757.51914,66592.44153
2018-09,30678.65375,18519.67063,5960.90148,1327.90769,3280.61644,1589.55751,61357.3075
2018-10,32396.00932,21193.89801,4969.69097,1273.09029,3215.94376,1743.38631,64792.01866
2018-11,32077.20806,22015.7339,3742.76491,1330.84363,3263.57095,1724.29467,64154.41612
2018-12,34065.34506,24306.28369,3109.63979,1446.08137,3404.05372,1799.2865,68130.69013
2019-01,34409.12645,24301.4495,3580.20841,1389.93655,3465.28412,1672.24787,68818.2529
2019-02,32291.06715,22622.75342,3835.77281,1292.57815,3042.25273,1497.71004,64582.1343
2019-03,37935.0336,25772.67842,5898.62563,1422.49852,3216.63766,1624.59337,75870.0672
2019-04,41238.33095,28915.30603,6752.27638,1254.00337,2807.17521,1509.56995,82476.66189
2019-05,38897.54376,25779.38696,7161.89697,1341.83562,3050.61864,1563.80557,77795.08752
2019-06,36485.38188,22445.97049,7971.09298,1328.26327,3158.71323,1581.34192,72970.76377
2019-07,36724.01301,22100.72207,8132.64079,1375.35966,3498.40912,1616.88137,73448.02602
2019-08,34422.07451,19978.03073,7876.55371,1393.1524,3538.62048,1635.71719,68844.14902
2019-09,37438.74116,24513.46786,6817.21992,1367.61198,3210.84468,1529.59672,74877.48232
2019-10,39495.36994,27624.5193,6093.46647,1141.0516,3062.93881,1573.39376,78990.73988
2019-11,35194.18356,25184.35888,4363.99289,983.53162,3136.84318,1525.45699,70388.36712
2019-12,36268.11001,26643.83983,3453.07527,1182.89427,3355.04425,1633.25639,72536.22002
2020-01,38708.06978,28121.41138,4458.87743,1147.5314,3326.08096,1654.16861,77416.13956
2020-02,40534.25509,29110.49454,5561.4092,1230.17768,3119.95305,1512.22062,81068.51018
2020-03,41951.27314,29319.78293,6349.64464,1465.16841,3170.13766,1646.5395,83902.54628
2020-04,43453.30806,29752.22898,7920.7291,1378.9473,2843.80127,1557.60141,86906.61612
2020-05,43901.50433,28377.50536,9653.40589,1362.26852,2918.80247,1589.5221,87803.00867
2020-06,45419.83582,30212.40523,9654.00577,1274.12148,2822.90766,1456.39568,90839.67164
2020-07,39370.89061,22866.19821,10609.77315,1331.28691,3022.17972,1541.45262,78741.78122
2020-08,38388.5287,23029.3319,9315.42156,1323.0241,3159.94069,1560.81045,76777.0574
2020-09,36584.60925,23185.97755,7732.32157,1288.00469,2895.42614,1482.87931,73169.21851
2020-10,41524.63333,28822.66268,7085.18487,1287.56105,2840.22226,1489.00247,83049.26666
2020-11,44698.69398,33129.4051,5766.51939,1398.78914,2951.33396,1452.6464,89397.38797
2020-12,43202.47546,32010.64517,5091.42256,1402.81632,3148.15711,1549.4343,86404.95092
2021-01,41790.35573,30060.4714,5559.24502,1346.78288,3228.9015,1594.95493,83580.71146
2021-02,38591.2605,26715.50092,6330.40705,1287.25045,2859.18182,1398.92026,77182.521
2021-03,54425.5076,39205.24802,9296.18165,1241.83848,3108.43261,1573.80684,108851.0152
2021-04,52587.76074,36157.80676,10891.71409,1287.75473,2784.98826,1465.49691,105175.5215
2021-05,52058.75618,33786.50791,12457.16045,1334.53707,2966.3967,1514.15406,104117.5124
2021-06,44702.92253,26671.53368,12196.77663,1277.29158,3087.72548,1469.59516,89405.84506
2021-07,40002.92334,21715.55151,12191.6812,1350.69258,3248.11556,1496.88248,80005.84667
2021-08,45159.1203,27071.12204,11966.82782,1336.95799,3314.67231,1469.54015,90318.24061
2021-09,45997.33896,28997.8029,11214.24963,1343.21112,3005.47035,1436.60496,91994.67792
2021-10,47077.09996,32215.11144,9268.03855,1318.81622,2835.16419,1439.96957,94154.19993
2021-11,49194.94304,35751.09063,7795.101,1365.57197,2890.03537,1393.14407,98389.88608
2021-12,52094.3869,39849.02762,6090.86526,1484.42193,3133.58848,1536.48361,104188.7738
2022-01,52375.61353,38080.39835,8170.89297,1566.02685,3089.18251,1469.11286,104751.2271
2022-02,52928.48767,37984.32481,9333.09651,1310.36567,2980.97168,1319.72901,105856.9754
2022-03,60734.61005,43014.32896,11897.85297,1376.1118,3012.22373,1434.09259,121469.2201
2022-04,64877.31209,45960.4019,13475.8951,1332.82663,2730.89749,1377.29097,129754.6242
2022-05,62742.57881,41667.50913,15198.48441,1383.9602,3051.91688,1440.70821,125485.1576
2022-06,55582.82631,33482.6975,16057.5899,1363.39753,3238.96126,1440.18013,111165.6526
2022-07,51435.73002,29302.23022,15749.44486,1438.13038,3477.84117,1468.08339,102871.46
2022-08,45015.2218,24354.65788,14441.75648,1442.28181,3350.80208,1425.72355,90030.4436
2022-09,46161.09542,27031.99474,13504.3642,1412.08405,2871.3687,1341.28372,92322.19083
2022-10,50478.04083,32824.49128,12251.95176,1344.27536,2647.08738,1410.23506,100956.0817
2022-11,56144.47499,41826.24681,8484.29415,1468.89924,3004.3505,1360.68429,112288.95
2022-12,52394.10685,39282.36741,7032.68994,1563.6476,3113.6095,1401.79239,104788.2137
